latitude,longitude,height
-5, -77, -991.336424212321
-5, -76.95, -1002.73478220881
-5, -76.9, -1012.80943250225
-5, -76.85, -1006.99321370479
-5, -76.8, -1034.91586245783
-5, -76.75, -1037.61541206902
-5, -76.7, -1025.23499454919
-5, -76.65, -1041.92881270684
-5, -76.6, -1042.47701721836
-5, -76.55, -1036.24119905231
-5, -76.5, -1037.1459320815
-5, -76.45, -1029.32795317052
-5, -76.4, -1025.54859199724
-5, -76.35, -1009.67967913894
-5, -76.3, -1013.46736111352
-5, -76.25, -1011.41628074879
-5, -76.2, -1017.59854938718
-5, -76.15, -1041.80511343956
-5, -76.1000000000001, -1049.52972838003
-5, -76.0500000000001, -1022.92518773244
-5, -76.0000000000001, -1025.5535733985
-5, -75.9500000000001, -1010.91476759966
-5, -75.9000000000001, -1022.91346136376
-5, -75.8500000000001, -1038.59045690135
-5, -75.8000000000001, -1044.79592136678
-5, -75.7500000000001, -1056.00731800485
-5, -75.7000000000001, -1054.64469481329
-5, -75.6500000000001, -1075.38391148974
-5, -75.6000000000001, -1097.13833673159
-5, -75.5500000000001, -1108.25329906167
-5, -75.5000000000001, -1133.13913213089
-5, -75.4500000000001, -1153.37079016666
-5, -75.4000000000001, -1154.73249562562
-5, -75.3500000000001, -1156.11305935693
-5, -75.3000000000001, -1168.8162626354
-5, -75.2500000000001, -1165.9525670124
-5, -75.2000000000001, -1166.1467352953
-5, -75.1500000000001, -1187.93986276689
-5, -75.1000000000001, -1181.13007503247
-5, -75.0500000000001, -1169.12382093503
-5, -75.0000000000001, -1152.84084665298
-5, -74.9500000000001, -1125.28634376742
-5, -74.9000000000001, -1124.93306058634
-5, -74.8500000000001, -1108.4819098945
-5, -74.8000000000001, -1097.10712317727
-5, -74.7500000000001, -1080.88475000486
-5, -74.7000000000001, -1077.25372658216
-5, -74.6500000000001, -1086.42452637339
-5, -74.6000000000001, -1077.88908322155
-5, -74.5500000000001, -1088.62476249528
-5, -74.5000000000001, -1101.20377278549
-5, -74.4500000000001, -1103.8089550127
-5, -74.4000000000001, -1105.88626595389
-5, -74.3500000000002, -1112.30574123806
-5, -74.3000000000002, -1106.60256468819
-5, -74.2500000000002, -1111.23659497278
-5, -74.2000000000002, -1122.34317536408
-5, -74.1500000000002, -1106.55141145864
-5, -74.1000000000002, -1123.50036155689
-5, -74.0500000000002, -1133.42364142137
-5, -74.0000000000002, -1131.10430065915
-5, -73.9500000000002, -1145.25714196253
-5, -73.9000000000002, -1149.23692186712
-5, -73.8500000000002, -1135.54788670503
-5, -73.8000000000002, -1154.7212904105
-5, -73.7500000000002, -1152.24361410271
-5, -73.7000000000002, -1143.87119346473
-5, -73.6500000000002, -1145.97339337878
-5, -73.6000000000002, -1143.3598194943
-5, -73.5500000000002, -1138.94797924859
-5, -73.5000000000002, -1143.72061655275
-5, -73.4500000000002, -1131.76926473435
-5, -73.4000000000002, -1112.24981558288
-5, -73.3500000000002, -1096.20753798203
-5, -73.3000000000002, -1094.73617793247
-5, -73.2500000000002, -1080.10453457234
-5, -73.2000000000002, -1058.18703411915
-5, -73.1500000000002, -1069.13024266821
-5, -73.1000000000002, -1077.06162945705
-5, -73.0500000000002, -1072.36670087173
-5, -73.0000000000002, -1073.9257293574
-5, -72.9500000000002, -1085.52226920461
-5, -72.9000000000002, -1094.18059360504
-5, -72.8500000000002, -1096.5297413466
-5, -72.8000000000002, -1077.54428748798
-5, -72.7500000000002, -1062.27172182128
-5, -72.7000000000002, -1048.58738528809
-5, -72.6500000000002, -1022.0909533354
-5, -72.6000000000003, -1019.98611194349
-5, -72.5500000000003, -1012.03458478639
-5, -72.5000000000003, -997.803175869281
-5, -72.4500000000003, -975.264500831487
-5, -72.4000000000003, -950.92099232669
-5, -72.3500000000003, -948.422259103856
-5, -72.3000000000003, -930.079671277199
-5, -72.2500000000003, -924.526256159879
-5, -72.2000000000003, -925.411927893292
